"Name","Institution","Country","Level","Type","URL"
"7AAVDM48 Introduction to Data Journalism","King's College London","GB","Postgraduate","Module","https://www.kcl.ac.uk/abroad/module-options/data-journalism-15-credits"
"Computational and Data Journalism (MSc)","Cardiff University","GB","Postgraduate","Programme","https://www.cardiff.ac.uk/study/postgraduate/taught/courses/course/computational-and-data-journalism-msc"
"Data Journalism","NYU Journalism","US","Postgraduate","Module","https://journalism.nyu.edu/about-us/course/2016-spring/data-journalism-9/"
"Data Journalism","University of Southern California","US","Undergraduate","Module","https://classes.usc.edu/term-20163/course/jour-322/"
"Data Journalism (Interdisciplinary)","University of Missouri","US","Postgraduate","Programme","https://journalism.missouri.edu/programs/undergraduate/general/independent-study/data-journalism-interdisciplinary/"
"Data Journalism (JOUR3000)","The University of Queensland","AU","Undergraduate","Module","https://www.uq.edu.au/study/course.html?course_code=JOUR3000"
"Data Journalism Concentration","De Paul University","US","Postgraduate","Programme","https://www.depaul.edu/university-catalog/degree-requirements/graduate/communication/journalism-ma/concentrations/Pages/data-journalism.aspx"
"Graduate Certificate in Data Journalism","George Mason University","US","Postgraduate","Certificate","https://cos.gmu.edu/ggs/academic-programs/graduate-certificate-in-data-journalism/"
"JO2204: Data Journalism","City, University of London","GB","Postgraduate","Module","https://www.city.ac.uk/courses/postgraduate/interactive-journalism"
"JOU 492 Data Journalism","Northern Kentucky University","US","Undergraduate","Module","http://onlinecatalog.nku.edu/preview_course_nopop.php?catoid=9&coid=19209"
"JOU4210 Data Journalism","John F. Kennedy University","US","Undergraduate","Module","https://www.jfku.edu/Programs-and-Courses/College-of-Business-Professional-Studies/Journalism/Courses/JOU4210.html"
"JOUR 499 - Data	Journalism","University of South Carolina","US","Undergraduate","Module","https://www.sc.edu/study/colleges_schools/cic/journalism_and_mass_communications/newsplex/training.php"
"Jour 319: Data Journalism","University of Nevada","US","Undergraduate","Module","https://journalism.unr.edu/courses-2/data-journalism/"
"JOUR 4790 - Data Journalism","Ohio University","US","Undergraduate","Module","http://www.catalogs.ohio.edu/preview_course_nopop.php?catoid=45&coid=216429"
"JPW 301/Data Journalism","The College of New Jersey","US","Undergraduate","Module","https://journalism.tcnj.edu/course-descriptions/"
"M.S. Data Journalism","Columbia University","US","Postgraduate","Programme","https://journalism.columbia.edu/ms-data-journalism"
"MA in Data Journalism","Birmingham City University","GB","Postgraduate","Programme","http://www.bcu.ac.uk/media/courses/data-journalism-ma-2018-19"
"Máster en Periodismo de Investigación, Datos y Visualización","University Rey Juan Carlos of Madrid","ES","Postgraduate","Programme","http://www.escuelaunidadeditorial.es/formacion-presencial/masteres/master-en-periodismo-de-investigacion-datos-y-visualizacion"
"Master of Journalism in Data and Investigative Journalism","University of King's College","CA","Postgraduate","Programme","https://ukings.ca/area-of-study/master-of-journalism-data-investigative/"
"MC 316 - Data Journalism","Kansas State University","US","Undergraduate","Module","https://catalog.k-state.edu/preview_course_nopop.php?catoid=36&coid=208428"
"PMMA 6103 - Data Journalism and Interactive Graphics","Fordham University","US","Undergraduate","Module","https://www.fordham.edu/info/20968/ma_in_public_media_curriculum/2076/journalism_concentration"
"Public Affairs Data Journalism I & II","Stanford University","US","Postgraduate","Module","http://journalism.stanford.edu/curriculum/"
